id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
4.0,12,38,3,-34.6017255,-58.368762800000006,0.0
4.0,12,38,4,-34.6017255,-58.368762800000006,2.0
4.0,12,38,5,-34.6017255,-58.368762800000006,0.0
4.0,13,38,0,-34.6017255,-58.368762800000006,1.0
4.0,13,38,1,-34.6017255,-58.368762800000006,2.0
4.0,13,38,2,-34.6017255,-58.368762800000006,1.0
4.0,13,38,3,-34.6017255,-58.368762800000006,0.0
4.0,13,38,4,-34.6017255,-58.368762800000006,1.0
4.0,13,38,5,-34.6017255,-58.368762800000006,0.0
4.0,14,38,0,-34.6017255,-58.368762800000006,1.0
4.0,14,38,1,-34.6017255,-58.368762800000006,4.0
4.0,14,38,2,-34.6017255,-58.368762800000006,0.0
4.0,14,38,3,-34.6017255,-58.368762800000006,0.0
4.0,14,38,4,-34.6017255,-58.368762800000006,0.0
4.0,14,38,5,-34.6017255,-58.368762800000006,0.0
4.0,15,38,0,-34.6017255,-58.368762800000006,0.0
4.0,15,38,1,-34.6017255,-58.368762800000006,9.0
4.0,15,38,2,-34.6017255,-58.368762800000006,0.0
4.0,15,38,3,-34.6017255,-58.368762800000006,0.0
4.0,15,38,4,-34.6017255,-58.368762800000006,0.0
4.0,15,38,5,-34.6017255,-58.368762800000006,0.0
4.0,16,38,0,-34.6017255,-58.368762800000006,0.0
4.0,16,38,1,-34.6017255,-58.368762800000006,12.0
4.0,16,38,2,-34.6017255,-58.368762800000006,0.0
4.0,16,38,3,-34.6017255,-58.368762800000006,0.0
4.0,16,38,4,-34.6017255,-58.368762800000006,0.0
4.0,16,38,5,-34.6017255,-58.368762800000006,0.0
4.0,17,38,0,-34.6017255,-58.368762800000006,0.0
4.0,17,38,1,-34.6017255,-58.368762800000006,13.0
4.0,17,38,2,-34.6017255,-58.368762800000006,0.0
4.0,17,38,3,-34.6017255,-58.368762800000006,0.0
4.0,17,38,4,-34.6017255,-58.368762800000006,0.0
4.0,17,38,5,-34.6017255,-58.368762800000006,0.0
4.0,18,38,0,-34.6017255,-58.368762800000006,0.0
4.0,18,38,1,-34.6017255,-58.368762800000006,13.0
4.0,18,38,2,-34.6017255,-58.368762800000006,0.0
4.0,18,38,3,-34.6017255,-58.368762800000006,0.0
4.0,18,38,4,-34.6017255,-58.368762800000006,0.0
4.0,18,38,5,-34.6017255,-58.368762800000006,0.0
4.0,19,38,0,-34.6017255,-58.368762800000006,0.0
4.0,19,38,1,-34.6017255,-58.368762800000006,13.0
4.0,19,38,2,-34.6017255,-58.368762800000006,0.0
4.0,19,38,3,-34.6017255,-58.368762800000006,0.0
4.0,19,38,4,-34.6017255,-58.368762800000006,0.0
4.0,19,38,5,-34.6017255,-58.368762800000006,0.0
4.0,20,38,0,-34.6017255,-58.368762800000006,0.0
4.0,20,38,1,-34.6017255,-58.368762800000006,14.0
4.0,20,38,2,-34.6017255,-58.368762800000006,0.0
4.0,20,38,3,-34.6017255,-58.368762800000006,0.0
4.0,20,38,4,-34.6017255,-58.368762800000006,1.0
4.0,20,38,5,-34.6017255,-58.368762800000006,1.0
4.0,21,38,0,-34.6017255,-58.368762800000006,0.0
4.0,21,38,1,-34.6017255,-58.368762800000006,14.0
4.0,21,38,2,-34.6017255,-58.368762800000006,0.0
4.0,21,38,3,-34.6017255,-58.368762800000006,0.0
4.0,21,38,4,-34.6017255,-58.368762800000006,0.0
4.0,21,38,5,-34.6017255,-58.368762800000006,1.0
4.0,22,38,0,-34.6017255,-58.368762800000006,0.0
4.0,22,38,1,-34.6017255,-58.368762800000006,14.0
4.0,22,38,2,-34.6017255,-58.368762800000006,0.0
4.0,22,38,3,-34.6017255,-58.368762800000006,2.0
4.0,22,38,4,-34.6017255,-58.368762800000006,1.0
4.0,22,38,5,-34.6017255,-58.368762800000006,2.0
4.0,23,38,0,-34.6017255,-58.368762800000006,0.0
